ID_Unique,Owner_code,Vis_NIR_SWIR_availability,MIR_availability,Sampling,Depth_cm,Lat,Long,Region,Municipality,State,Vegetation,Bioma,Geology,Sand_gkg,Clay_gkg,SOM_gkg,pH_H2O,Ca_mmolkg,Mg_mmolkg,Na_mmolkg,CEC_Ph7_mmolkg,,,,
2744,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,415,495,,,,,,,,,,
2745,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,441,460,,,,,,,,,,
2746,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,415,505,,,,,,,,,,
2747,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,410,515,,,,,,,,,,
2748,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,425,505,,,,,,,,,,
2749,RMCO,YES,NO,,0-20,-22.665,-45.008889,Southeast,Cachoeira Paulista  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,540,350,,,,,,,,,,
2750,RMCO,YES,NO,,0-20,-22.665,-45.008889,Southeast,Cachoeira Paulista  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,375,565,,,,,,,,,,
2751,RMCO,YES,NO,,0-20,-22.665,-45.008889,Southeast,Cachoeira Paulista  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,295,645,,,,,,,,,,
2752,RMCO,YES,NO,,0-20,-22.665,-45.008889,Southeast,Cachoeira Paulista  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,290,640,,,,,,,,,,
2753,RMCO,YES,NO,,0-20,-22.665,-45.008889,Southeast,Cachoeira Paulista  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,310,605,,,,,,,,,,
2754,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeirao Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,245,430,,,,,,,,,,
2755,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeirao Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,300,330,,,,,,,,,,
2756,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeirao Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,448,530,,,,,,,,,,
2757,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeirao Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,180,605,,,,,,,,,,
2758,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,225,689,,,,,,,,,,
2759,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,211,602,,,,,,,,,,
2760,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,241,325,,,,,,,,,,
2761,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,727,169,,,,,,,,,,
2762,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,811,146,,,,,,,,,,
2763,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,771,186,,,,,,,,,,
2764,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,686,258,,,,,,,,,,
2765,RMCO,YES,NO,,0-20,-24.115,-49.340833,Southeast,Itarare  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,679,277,,,,,,,,,,
2766,RMCO,YES,NO,,0-20,-22.017778,-47.890833,Southeast,S?o Carlos  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,780,210,,,,,,,,,,
2767,RMCO,YES,NO,,0-20,-22.017778,-47.890833,Southeast,S?o Carlos  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,760,220,,,,,,,,,,
2768,RMCO,YES,NO,,0-20,-22.017778,-47.890833,Southeast,S?o Carlos  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,740,250,,,,,,,,,,
2769,RMCO,YES,NO,,0-20,-22.017778,-47.890833,Southeast,S?o Carlos  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,710,270,,,,,,,,,,
2770,RMCO,YES,NO,,0-20,-22.017778,-47.890833,Southeast,S?o Carlos  SP,Sao Paulo,Savannah,Cerrado,Sedimentary Rock,730,260,,,,,,,,,,
2771,RMCO,YES,NO,,0-20,-22.25,-47,Southeast,Mogi Guaþu  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Sedimentary Rock,750,220,,,,,,,,,,
2772,RMCO,YES,NO,,0-20,-22.25,-47,Southeast,Mogi Guaþu  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Sedimentary Rock,730,240,,,,,,,,,,
2773,RMCO,YES,NO,,0-20,-22.25,-47,Southeast,Mogi Guaþu  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Sedimentary Rock,700,250,,,,,,,,,,
2774,RMCO,YES,NO,,0-20,-22.25,-47,Southeast,Mogi Guaþu  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Sedimentary Rock,650,310,,,,,,,,,,
2775,RMCO,YES,NO,,0-20,-22.25,-47,Southeast,Mogi Guaþu  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Sedimentary Rock,640,320,,,,,,,,,,
3191,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,800,123,12.6,,3.1,1.9,,30.6,,,,
3192,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,814,119,13.1,,8.4,5.5,,27.8,,,,
3195,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,840,73,10.4,,3.5,2.4,,31.2,,,,
3198,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,759,154,19.3,,7.2,5.3,,45.5,,,,
